Date,GC=F Open,GC=F High,GC=F Low,GC=F Close,GC=F Volume,BTC-USD Open,BTC-USD High,BTC-USD Low,BTC-USD Close,BTC-USD Volume,HG=F Open,HG=F High,HG=F Low,HG=F Close,HG=F Volume,ETH-USD Open,ETH-USD High,ETH-USD Low,ETH-USD Close,ETH-USD Volume,^GSPC Open,^GSPC High,^GSPC Low,^GSPC Close,^GSPC Volume,XMR-USD Open,XMR-USD High,XMR-USD Low,XMR-USD Close,XMR-USD Volume,^GSPC Percentage Change,^GSPC RSI,HG=F Percentage Change,HG=F RSI,GC=F Percentage Change,GC=F RSI,XMR-USD Percentage Change,XMR-USD RSI,BTC-USD Percentage Change,BTC-USD RSI,ETH-USD Percentage Change,ETH-USD RSI,Target
2017-11-23,1636.8887983645247,1644.485998768624,1629.3999320275145,1636.9799852214876,5438.75,8232.3798828125,8267.400390625,8038.77001953125,8038.77001953125,4225179904.0,3.400142423767861,3.4230881123269192,3.3761403695807433,3.4012035489733754,1747.7581967213114,381.4389953613281,425.5480041503906,376.0880126953125,410.1659851074219,1845680000.0,3518.221772177634,3539.3543480362096,3495.511944725896,3518.6507237561327,4191630600.682594,166.11000061035156,172.91900634765625,156.45399475097656,158.60699462890625,109392000.0,0.35484876011080657,59.85839819034936,0.08508646355030813,59.56522506241385,0.2674047817931149,59.59059029487262,-0.0442482823402891,70.41546575933825,-0.026022716314653915,60.41904905659348,0.07753532472207425,75.92963527177444,1
2017-11-24,1286.699951171875,1286.699951171875,1286.699951171875,1286.699951171875,0.0,8074.02001953125,8374.16015625,7940.93017578125,8253.6904296875,5058610176.0,3.125999927520752,3.1735000610351562,3.125,3.1659998893737793,193.0,412.5010070800781,480.9729919433594,402.75799560546875,474.9110107421875,2292829952.0,2600.419921875,2604.2099609375,2600.419921875,2602.419921875,1385890000.0,158.61900329589844,162.94200134277344,156.76100158691406,160.02699279785156,69178000.0,-0.2603926544044881,50.17801593447752,-0.06915306779289654,52.53450753085878,-0.21397942382430457,50.3296463661116,0.008952935349841873,84.51356205881568,0.026735484363164197,70.51922423576525,0.15785079208313424,90.79831690946881,1
2017-11-25,1636.8887983645247,1644.485998768624,1629.3999320275145,1636.9799852214876,5438.75,8241.7099609375,8790.919921875,8191.14990234375,8790.919921875,4342060032.0,3.400142423767861,3.4230881123269192,3.3761403695807433,3.4012035489733754,1747.7581967213114,475.6759948730469,485.1919860839844,461.0530090332031,466.2760009765625,1422080000.0,3518.221772177634,3539.3543480362096,3495.511944725896,3518.6507237561327,4191630600.682594,159.9949951171875,170.10400390625,159.9949951171875,168.44200134277344,64076700.0,0.3520687780552356,50.0,0.07429048257045845,50.0,0.2722313261383056,50.0,0.05258493206550363,83.3265115166846,0.06508961012823455,78.54602573853685,-0.018182374319202,86.35667071112319,0
2017-11-26,1636.8887983645247,1644.485998768624,1629.3999320275145,1636.9799852214876,5438.75,8789.0400390625,9522.9296875,8775.58984375,9330.5498046875,5475579904.0,3.400142423767861,3.4230881123269192,3.3761403695807433,3.4012035489733754,1747.7581967213114,465.9739990234375,472.7229919433594,451.6059875488281,471.3299865722656,1197779968.0,3518.221772177634,3539.3543480362096,3495.511944725896,3518.6507237561327,4191630600.682594,168.57200622558594,168.72000122070312,159.76300048828125,163.37399291992188,61100400.0,0.0,50.0,0.0,50.0,0.0,50.0,-0.03008755763082127,76.67178918064081,0.06138491620992981,88.46526053804739,0.010839042938341592,89.51896049795403,1
2017-11-27,1293.800048828125,1293.800048828125,1293.800048828125,1293.800048828125,1.0,9352.7197265625,9818.349609375,9352.7197265625,9818.349609375,5653320192.0,3.13100004196167,3.134000062942505,3.13100004196167,3.132499933242798,245.0,471.531005859375,493.4049987792969,468.4849853515625,480.3550109863281,1396480000.0,2602.659912109375,2606.409912109375,2598.8701171875,2601.419921875,3017720000.0,162.91600036621094,173.39199829101562,159.947998046875,173.39199829101562,81489696.0,-0.26067685425224474,50.147653388104416,-0.0790025095121647,50.58783047548857,-0.20964210893936464,50.385842172021576,0.06131946212518713,79.88188056731843,0.052279856482030373,88.1369196730604,0.019147995398503648,89.52994940547937,1
2017-11-28,1294.699951171875,1294.699951171875,1294.699951171875,1294.699951171875,275442.0,9823.4296875,10125.7001953125,9736.2998046875,10058.7998046875,6348819968.0,3.1050000190734863,3.1050000190734863,3.06850004196167,3.070499897003174,73600.0,480.51800537109375,482.4800109863281,466.34698486328125,472.9020080566406,1346499968.0,2605.93994140625,2627.68994140625,2605.43994140625,2627.0400390625,3493340000.0,175.34800720214844,203.2100067138672,173.17300415039062,203.2100067138672,179179008.0,0.00984851271879017,50.427485940484544,-0.019792509995504082,50.29219761113737,0.0006955497834191249,50.3091497348827,0.1719687685518565,85.96361861920965,0.024489879142509663,88.57593384120754,-0.015515613992209687,84.95030618655807,0
2017-11-29,1293.4000244140625,1296.199951171875,1281.0999755859375,1282.0999755859375,47244.0,10077.400390625,11517.400390625,9601.0302734375,9888.6103515625,11568799744.0,3.068000078201294,3.0834999084472656,3.0325000286102295,3.0399999618530273,19125.0,473.281005859375,522.3070068359375,425.0710144042969,427.52301025390625,2675940096.0,2627.820068359375,2634.889892578125,2620.320068359375,2626.070068359375,4090630000.0,203.91299438476562,214.27499389648438,165.33099365234375,168.14999389648438,178828000.0,-0.000369225702197995,50.54662855226963,-0.009933214842285043,49.752231124352996,-0.009731965753557725,50.13068910518459,-0.1725309367601644,65.964936017849,-0.016919459222728528,82.75987089137666,-0.09595856441637107,70.0674283573703,1
2017-11-30,1283.0999755859375,1284.5,1269.699951171875,1273.199951171875,3049.0,9906.7900390625,10801.0,9202.0498046875,10233.599609375,8310689792.0,3.0369999408721924,3.063499927520752,3.0244998931884766,3.0369999408721924,2038.0,431.2149963378906,465.49700927734375,401.2430114746094,447.114013671875,1903040000.0,2633.929931640625,2657.739990234375,2633.929931640625,2647.580078125,4965700000.0,170.48599243164062,195.3939971923828,156.531005859375,180.13800048828125,128112000.0,0.008190950433802913,50.550941384405064,-0.0009868490192369572,49.820810248469904,-0.00694175538845565,49.90234567484812,0.07129352974688108,69.0048560288005,0.034887536827456156,81.78020738246683,0.04582444207233105,73.07352836725131,1
2017-12-01,1274.0999755859375,1288.5999755859375,1271.0,1278.800048828125,823.0,10198.599609375,11046.7001953125,9694.650390625,10975.599609375,6783119872.0,3.0445001125335693,3.0975000858306885,3.0445001125335693,3.065500020980835,2053.0,445.2090148925781,472.6090087890625,428.31201171875,466.5400085449219,1247879936.0,2645.10009765625,2650.6201171875,2605.52001953125,2642.219970703125,3950930000.0,179.7220001220703,191.8489990234375,169.76300048828125,190.93800354003906,70430496.0,-0.002024530803113933,50.56380146609069,0.00938428734392982,50.0822725354485,0.004398443191185875,49.602372658282505,0.05995405201836013,69.8485946019241,0.07250625667631683,88.02532514701386,0.043447519601349516,74.86597691807101,1
2017-12-02,1636.8887983645247,1644.485998768624,1629.3999320275145,1636.9799852214876,5438.75,10978.2998046875,11320.2001953125,10905.099609375,11074.599609375,5138500096.0,3.400142423767861,3.4230881123269192,3.3761403695807433,3.4012035489733754,1747.7581967213114,466.85101318359375,476.239013671875,456.65301513671875,463.4490051269531,943649984.0,3518.221772177634,3539.3543480362096,3495.511944725896,3518.6507237561327,4191630600.682594,190.83399963378906,205.26400756835938,186.6840057373047,203.03399658203125,80791104.0,0.33170241795567823,50.0,0.1095102024775485,50.0,0.2800906496067104,50.0,0.0633503693226567,71.26847932124787,0.009020008338809893,88.07485560083987,-0.006625376948076078,72.48292611212904,0
