XMR-USD Open,XMR-USD Close,Percentage Change,RSI,SMA,EMA,Gold Open,Gold Close,S&P500 Open,S&P500 Close,Copper Open,Copper Close,ETH Open,ETH Close,BTC Open,BTC Close,Gold Pct change,S&P500 Pct change,Copper Pct change,ETH Pct change,BTC Pct change,Gold EMA,S&P500 EMA,Copper EMA,ETH RSI,ETH SMA,ETH EMA,BTC RSI,BTC SMA,BTC EMA,Target
158.61900329589844,160.02699279785156,0.0089529353498418,84.51356205881568,132.37046559651694,135.4575641914694,1286.699951171875,1286.699951171875,2600.419921875,2602.419921875,3.125999927520752,3.16599988937378,412.5010070800781,474.9110107421875,8074.02001953125,8253.6904296875,-0.0037937631671444,0.0020560951489239,0.0100494057752595,0.1578507920831342,0.0267354843631641,1283.5603770673426,2586.949538208303,3.094347642323215,9.673940017228768,351.1814676920573,359.3508037536678,27.781894936397755,7444.121354166667,7612.438832592663,1.0
162.91600036621094,173.39199829101562,0.0613194621251871,79.88188056731843,142.78046518961588,144.43522559624037,1293.800048828125,1293.800048828125,2602.659912109375,2601.419921875,3.13100004196167,3.132499933242798,471.531005859375,480.3550109863281,9352.7197265625,9818.349609375,0.0055180678679465,-0.0003842577408796,-0.0105811614976425,0.0191479953985036,0.0522798564820303,1284.795560633179,2588.69506096665,3.09894984870676,11.35406162324966,384.2560689290365,390.1902919056621,11.219959080787396,8045.055305989584,8083.116865991301,1.0
175.34800720214844,203.2100067138672,0.1719687685518565,85.96361861920965,148.1009989420573,150.31270370800306,1294.699951171875,1294.699951171875,2605.93994140625,2627.0400390625,3.1050000190734863,3.070499897003174,480.51800537109375,472.9020080566406,9823.4296875,10058.7998046875,0.0006955497834191,0.0098485127187901,-0.019792509995504,-0.0155156139922096,0.0244898791425096,1285.7859996870486,2592.5295587762357,3.096104853536401,16.047656940885357,394.66846923828126,398.46146352076,10.80670018358579,8278.342610677084,8280.685159860921,0.0
203.9129943847656,168.14999389648438,-0.1725309367601644,65.964936017849,151.1541320800781,152.0964327268512,1293.4000244140625,1282.0999755859375,2627.820068359375,2626.070068359375,3.068000078201294,3.039999961853028,473.281005859375,427.5230102539063,10077.400390625,9888.6103515625,-0.0097319657535577,-0.0003692257021979,-0.0099332148422848,-0.0959585644163709,-0.0169194592227285,1285.4173972769377,2595.8836097345493,3.090494364368064,30.71914068853522,400.66126912434896,401.3676181940746,17.039726321872173,8495.199967447918,8441.477679031079,1.0
170.48599243164062,180.13800048828125,0.071293529746881,69.0048560288005,155.0717320760091,154.9005895029942,1283.0999755859375,1273.199951171875,2633.929931640625,2647.580078125,3.0369999408721924,3.0369999408721924,431.2149963378906,447.114013671875,9906.7900390625,10233.599609375,-0.0069417553884556,0.0081909504338029,-0.000986849019237,0.045824442072331,0.0348875368274561,1284.1956526664314,2601.053256573595,3.085144922018477,28.055222333219103,408.2450703938802,405.9422577418546,18.0715433922747,8689.737272135417,8620.689872065472,1.0
179.7220001220703,190.93800354003903,0.0599540520183601,69.8485946019241,159.78059895833334,158.5043309066987,1274.0999755859375,1278.800048828125,2645.10009765625,2642.219970703125,3.0445001125335693,3.065500020980835,445.2090148925781,466.5400085449219,10198.599609375,10975.599609375,0.0043984431911858,-0.0020245308031139,0.0093842873439298,0.0434475196013495,0.0725062566763168,1283.6560922826009,2605.169927986548,3.083180431914713,26.05501970814249,417.2861368815104,412.00203282216137,12.04105582455112,8896.664583333333,8856.180845796425,1.0
199.5619964599609,210.24200439453125,0.050942058688344,71.23242621063882,174.8705322265625,171.02420093215522,1272.5,1274.300048828125,2657.18994140625,2639.43994140625,3.068000078201294,3.062999963760376,466.0539855957031,470.2040100097656,11315.400390625,11657.2001953125,-0.0035189238568795,-0.0010521566439205,-0.0008155463067519,0.009339884498408,0.029496961480754,1282.527498379769,2609.303825865885,3.080746117300197,30.20506449527901,441.6270711263021,426.8360220579709,11.625009059980366,9597.955891927084,9538.006442054346,1.0
211.1280059814453,269.4840087890625,0.2817800589617678,77.9343402554222,183.7851328531901,180.87018171784595,1275.4000244140625,1261.5999755859375,2639.780029296875,2629.570068359375,3.063999891281128,2.9205000400543213,470.29400634765625,463.281005859375,11685.7001953125,11916.7001953125,-0.0099663130782007,-0.0037393815604747,-0.0465229922925336,-0.0147234051667207,0.0222609199166321,1280.4347461003858,2611.330450115234,3.06472150957561,30.196715936516625,448.0638041178385,430.4805204381114,8.41771596788014,9845.69326171875,9775.875817380162,1.0
268.1640014648437,278.6849975585937,0.0341429861121491,76.38396147332203,192.91493225097656,190.6516633019208,1264.9000244140625,1262.800048828125,2626.239990234375,2629.27001953125,2.928499937057495,2.936500072479248,462.60400390625,428.5880126953125,11923.400390625,14291.5,0.0009512311869142,-0.0001141056599842,0.0054785249804787,-0.0748854209977977,0.1992833389919166,1278.6712763731598,2613.1244070568355,3.051899365865974,41.86876739147249,452.6096048990885,430.2912696638315,5.677549164514264,10260.375944010417,10227.438235642145,1.0
277.86700439453125,280.8550109863281,0.0077866173161262,79.32028105968148,200.57526652018228,199.6719980703615,1262.300048828125,1249.800048828125,2628.3798828125,2636.97998046875,2.950999975204468,2.940500020980835,426.3689880371094,434.4079895019531,14266.099609375,17899.69921875,-0.0102945830672591,0.0029323579853828,0.0013621482727257,0.013579420408984,0.2524716942763181,1275.7841536186563,2615.509964398027,3.04075943137746,45.54897260145197,456.19333699544273,430.7029416476436,1.8553777387782355,10903.452571614584,10994.66433395293,0.0
