Date,HG=F Open,HG=F High,HG=F Low,HG=F Close,HG=F Volume,GC=F Open,GC=F High,GC=F Low,GC=F Close,GC=F Volume,^GSPC Open,^GSPC High,^GSPC Low,^GSPC Close,^GSPC Volume,XMR-USD Open,XMR-USD High,XMR-USD Low,XMR-USD Close,XMR-USD Volume,ETH-USD Open,ETH-USD High,ETH-USD Low,ETH-USD Close,ETH-USD Volume,BTC-USD Open,BTC-USD High,BTC-USD Low,BTC-USD Close,BTC-USD Volume
2017-11-09,3.077500104904175,3.0855000019073486,3.0769999027252197,3.0799999237060547,222.0,1279.699951171875,1286.9000244140625,1279.699951171875,1285.5999755859375,18.0,2584.0,2586.5,2566.330078125,2584.6201171875,3844100000.0,112.53199768066406,123.40499877929688,112.21900177001953,120.77999877929688,86864600,308.6449890136719,329.4519958496094,307.0559997558594,320.8840026855469,893249984,7446.830078125,7446.830078125,7101.52001953125,7143.580078125,3226249984
2017-11-10,3.0789999961853027,3.0789999961853027,3.063499927520752,3.069499969482422,214.0,1283.5,1283.5,1272.4000244140625,1272.4000244140625,10.0,2580.179931640625,2583.81005859375,2575.570068359375,2582.300048828125,3489740000.0,121.34400177001953,121.66500091552734,101.75700378417969,105.58599853515625,84614000,320.6709899902344,324.7179870605469,294.5419921875,299.25299072265625,885985984,7173.72998046875,7312.0,6436.8701171875,6618.14013671875,5208249856
2017-11-11,,,,,,,,,,,,,,,,105.75,127.10600280761719,103.87799835205078,119.61599731445312,107708000,298.58599853515625,319.4530029296875,298.1919860839844,314.6809997558594,842300992,6618.60986328125,6873.14990234375,6204.22021484375,6357.60009765625,4908680192
2017-11-12,,,,,,,,,,,,,,,,119.59700012207031,133.6750030517578,110.61799621582031,123.85600280761719,144948000,314.69000244140625,319.15301513671875,298.51300048828125,307.9079895019531,1613479936,6295.4501953125,6625.0498046875,5519.009765625,5950.06982421875,8957349888
2017-11-13,3.0859999656677246,3.125999927520752,3.0859999656677246,3.1115000247955322,368.0,1277.300048828125,1277.300048828125,1277.0,1277.300048828125,3.0,2576.530029296875,2587.659912109375,2574.47998046875,2584.840087890625,3405200000.0,128.9600067138672,136.5279998779297,120.9219970703125,123.4020004272461,116200000,307.0249938964844,328.4150085449219,307.0249938964844,316.71600341796875,1041889984,5938.25,6811.18994140625,5844.2900390625,6559.490234375,6263249920
2017-11-14,3.1029999256134033,3.1029999256134033,3.0450000762939453,3.059999942779541,289.0,1276.9000244140625,1281.5,1276.9000244140625,1281.5,4.0,2577.75,2579.659912109375,2566.56005859375,2578.8701171875,3643580000.0,123.61599731445312,124.20099639892578,118.6259994506836,122.35299682617188,53544800,316.76300048828125,340.177001953125,316.76300048828125,337.6310119628906,1069680000,6561.47998046875,6764.97998046875,6461.75,6635.75,3197110016
2017-11-15,3.05049991607666,3.057499885559082,3.0334999561309814,3.0490000247955322,338.0,1281.4000244140625,1284.699951171875,1275.9000244140625,1276.5,13.0,2569.449951171875,2572.840087890625,2557.449951171875,2564.6201171875,3586590000.0,122.24099731445312,124.72200012207031,119.19200134277344,121.3740005493164,49976700,337.9639892578125,340.9119873046875,329.81298828125,333.35699462890625,722665984,6634.759765625,7342.25,6634.759765625,7315.5400390625,4200880128
2017-11-16,3.0450000762939453,3.05649995803833,3.0404999256134033,3.0434999465942383,331.0,1277.5,1277.5,1277.4000244140625,1277.4000244140625,43.0,2572.949951171875,2590.090087890625,2572.949951171875,2585.639892578125,3329730000.0,121.24299621582031,128.08799743652344,118.50499725341797,120.30500030517578,74944096,333.4429931640625,336.15899658203125,323.6059875488281,330.92401123046875,797254016,7323.240234375,7967.3798828125,7176.580078125,7871.68994140625,5123809792
2017-11-17,3.0299999713897705,3.064500093460083,3.0299999713897705,3.0625,233.0,1288.300048828125,1295.800048828125,1288.300048828125,1295.800048828125,1.0,2582.93994140625,2583.9599609375,2577.6201171875,2578.85009765625,3309800000.0,120.01499938964844,126.69999694824219,119.25,126.69999694824219,47127700,330.1669921875,334.9639892578125,327.52301025390625,332.3940124511719,621732992,7853.56982421875,8004.58984375,7561.08984375,7708.990234375,4651670016
2017-11-18,,,,,,,,,,,,,,,,126.59500122070312,135.01199340820312,123.52899932861328,130.7989959716797,62156400,331.9800109863281,349.6159973144531,327.68701171875,347.61199951171875,649638976,7697.2099609375,7884.990234375,7463.43994140625,7790.14990234375,3667190016
